地方,四国,1241,447,6.4,9.7,15.1,15.2,18.5,8.4,10.1,20.7,12,8.7,45.1,23,14.2,
地方,九州・沖縄,2326,1701,8.1,11.6,15.7,15.3,18.7,8.6,10.1,18,10.4,7.6,40.8,20.2,12.6,
都道府県,01北海道,275,677,8.3,10.9,16.1,16.2,17.8,8.1,9.7,18.4,10.5,7.8,40.4,20.3,12.4,
都道府県,02青森県,348,140,5.4,8.4,13.8,16.6,21.4,9.8,11.6,21,12.2,8.8,45.9,22.1,13.3,
都道府県,03岩手県,342,135,6.4,9.1,13.9,16.3,21.1,9.7,11.4,19.9,11.5,8.5,44.8,21.9,13.4,
都道府県,04宮城県,341,268,9.5,11.9,16.5,16.4,18.4,8.6,9.9,17,9.9,7.1,37.2,17.5,10.3,
都道府県,05秋田県,333,105,4.7,7.5,12.5,14.9,22.3,10,12.3,22.1,13,9.2,50.4,25.1,15.9,
都道府県,06山形県,374,109,6.1,8.9,13.2,15.3,21.8,9.9,11.9,20.8,12.2,8.6,46.6,22.5,13.9,
都道府県,07福島県,290,204,6.2,9.8,14.7,16.7,21.6,10,11.5,19.1,11.2,7.9,42.6,19.8,11.9,
都道府県,08茨城県,290,325,7.2,10.9,16.1,16.7,18.9,8.6,10.3,19.6,11.1,8.5,40.6,19.2,10.7,
都道府県,09栃木県,325,219,7.3,11.2,16.3,16.6,19.2,8.8,10.4,19.1,11.2,8,39.9,18.3,10.3,
都道府県,10群馬県,331,221,7,10.5,16.2,16.6,18.1,8.2,9.8,19.9,11.3,8.6,41.5,20.3,11.7,
都道府県,11埼玉県,315,869,7.9,12.2,17.7,17.6,16,7.5,8.5,18.5,10.1,8.4,37.2,18.5,10.1,
都道府県,12千葉県,316,761,8.7,12.2,17.3,17.2,15.8,7.4,8.4,18.4,10.1,8.3,37.2,18.7,10.4,
都道府県,13東京都,381,1984,13,16,18.4,17.1,12.6,6.3,6.3,13.4,7.4,6,29.2,15.6,9.6,
都道府県,14神奈川県,325,1158,9.1,12.8,18.1,18.6,14.6,7.1,7.5,16.4,8.9,7.5,34.4,18,10.5,
都道府県,15新潟県,351,237,6.5,9.4,14.4,15.8,20.2,9.1,11,20.5,12,8.5,44.9,21.9,13.3,
都道府県,16富山県,427,111,6.8,9.4,15.3,15.7,17.9,8.1,9.8,22,12.6,9.4,44.8,22.4,13,
都道府県,17石川県,355,128,8.7,10.7,16.6,16,17,7.9,9.1,20,11.6,8.4,40.1,19.5,11.1,
都道府県,18福井県,347,80,6.5,10.2,15.3,16.2,18.8,8.7,10.1,20.3,11.7,8.6,43.1,21.3,12.8,
都道府県,19山梨県,351,93,6.6,9.4,15,17.4,19,8.9,10.1,19.5,10.9,8.6,42.7,21.6,13.1,
都道府県,20長野県,339,228,6.5,9.5,15.4,16.5,18.2,8.5,9.7,20,11.1,8.9,43.6,22.8,13.9,
都道府県,21岐阜県,374,214,6.3,10.2,15.9,16.5,17.9,8.2,9.7,20.6,11.6,9,42.8,21.5,12.5,
都道府県,22静岡県,364,407,7.2,10.9,16,16.7,17.8,8.3,9.5,19.5,10.9,8.7,40.9,20.5,11.8,
都道府県,23愛知県,349,888,9.4,13.3,18.1,17.4,14.8,7.2,7.7,17,9.3,7.6,34.6,17.6,9.9,
都道府県,24三重県,315,204,7,10.8,16.4,16.9,17.2,8,9.1,19.4,10.8,8.6,40.8,20.9,12.3,
都道府県,25滋賀県,328,157,7.9,12.2,18,17.2,16.8,7.9,8.9,17.8,10.2,7.7,36.8,17.7,10.1,
都道府県,26京都府,309,325,9.8,11,16.3,16.3,15.3,7.2,8.1,19.1,10.6,8.4,39.3,20.6,12.1,
都道府県,27大阪府,268,1135,8.9,12.2,17.3,17.5,14.6,6.9,7.7,18.1,9.8,8.3,37.2,19.6,11.3,
都道府県,28兵庫県,297,660,6.7,10.8,16.6,17.3,16.7,7.9,8.9,19.4,10.8,8.7,40.7,21.1,12.4,
都道府県,29奈良県,340,150,5,9.4,15.7,17.1,17.9,8.2,9.7,21.7,11.8,9.9,44.6,23,13.2,
都道府県,30和歌山県,288,108,4.8,9.1,14.8,16.4,18.5,8.6,9.9,21.5,11.8,9.6,46.3,24.6,14.9,
都道府県,31鳥取県,331,60,6.8,9.7,14.7,15.1,20.4,9.3,11.1,20.2,11.9,8.3,44.5,21.5,13.1,
都道府県,32島根県,382,74,7.1,9.7,13.9,14.2,19.5,8.8,10.7,20.8,12.2,8.6,46.3,23.3,14.8,
都道府県,33岡山県,341,219,8.7,10.9,15.8,15.1,17,7.9,9.1,19.8,11,8.7,41.7,21.5,12.8,
都道府県,34広島県,345,340,8.9,11.6,16.5,15.7,16.1,7.5,8.6,18.9,10.6,8.4,39.9,20.7,12.3,
